GKZ;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;Hofer;%;Van der Bellen;%
G00000;Österreich;6.382.507;4.637.046;164.875;4.472.171;2.220.654;49,65;2.251.517;50,35
G00099;Wahlkarten - Österreich;0;759.968;19.629;740.339;282.902;38,21;457.437;61,79
G10000;Burgenland;232.028;182.342;7.965;174.377;107.128;61,43;67.249;38,57
G10099;Wahlkarten - Burgenland;0;20.876;649;20.227;10.055;49,71;10.172;50,29
G10100;Eisenstadt(Stadt);10.567;8.287;293;7.994;3.970;49,66;4.024;50,34
G10101;Eisenstadt;10.567;7.028;249;6.779;3.475;51,26;3.304;48,74
G10199;Wahlkarten - Eisenstadt(Stadt);0;1.259;44;1.215;495;40,74;720;59,26
G10200;Rust(Stadt);1.545;1.264;67;1.197;695;58,06;502;41,94
G10201;Rust;1.545;1.080;59;1.021;622;60,92;399;39,08
G10299;Wahlkarten - Rust(Stadt);0;184;8;176;73;41,48;103;58,52
G10300;Eisenstadt-Umgebung;33.671;27.125;1.262;25.863;14.698;56,83;11.165;43,17
G10301;Breitenbrunn am Neusiedler See;1.578;1.084;51;1.033;588;56,92;445;43,08
G10302;Donnerskirchen;1.472;1.012;46;966;654;67,7;312;32,3
G10303;Großhöflein;1.671;1.169;68;1.101;690;62,67;411;37,33
G10304;Hornstein;2.283;1.492;66;1.426;762;53,44;664;46,56
G10305;Klingenbach;892;588;32;556;338;60,79;218;39,21
G10306;Leithaprodersdorf;967;741;41;700;400;57,14;300;42,86
G10307;Mörbisch am See;1.830;1.295;47;1.248;807;64,66;441;35,34
G10308;Müllendorf;1.121;821;41;780;426;54,62;354;45,38
G10309;Neufeld an der Leitha;2.512;1.877;57;1.820;997;54,78;823;45,22
G10310;Oggau am Neusiedler See;1.491;1.168;79;1.089;732;67,22;357;32,78
G10311;Oslip;1.023;751;46;705;363;51,49;342;48,51
G10312;Purbach am Neusiedler See;2.341;1.605;54;1.551;959;61,83;592;38,17
G10313;Sankt Margarethen im Burgenland;2.296;1.659;95;1.564;1.021;65,28;543;34,72
G10314;Schützen am Gebirge;1.113;790;63;727;456;62,72;271;37,28
G10315;Siegendorf;2.222;1.558;59;1.499;777;51,83;722;48,17
G10316;Steinbrunn;2.023;1.455;73;1.382;730;52,82;652;47,18
G10317;Trausdorf an der Wulka;1.643;1.216;57;1.159;618;53,32;541;46,68
G10318;Wimpassing an der Leitha;1.121;796;21;775;490;63,23;285;36,77
G10319;Wulkaprodersdorf;1.477;1.093;60;1.033;506;48,98;527;51,02
G10320;Loretto;395;273;14;259;156;60,23;103;39,77
G10321;Stotzing;655;444;33;411;276;67,15;135;32,85
G10322;Zillingtal;733;487;14;473;253;53,49;220;46,51
G10323;Zagersdorf;812;609;41;568;290;51,06;278;48,94
G10399;Wahlkarten - Eisenstadt-Umgebung;0;3.142;104;3.038;1.409;46,38;1.629;53,62
G10400;Güssing;21.418;16.567;780;15.787;10.285;65,15;5.502;34,85
G10401;Bocksdorf;681;497;26;471;343;72,82;128;27,18
G10402;Burgauberg-Neudauberg;1.101;755;21;734;524;71,39;210;28,61
G10403;Eberau;752;516;31;485;341;70,31;144;29,69
G10404;Gerersdorf-Sulz;822;566;37;529;320;60,49;209;39,51
G10405;Güssing;3.000;1.894;91;1.803;1.202;66,67;601;33,33
G10406;Güttenbach;741;473;30;443;222;50,11;221;49,89
G10407;Heiligenbrunn;677;442;25;417;307;73,62;110;26,38
G10408;Kukmirn;1.654;1.130;25;1.105;795;71,95;310;28,05
G10409;Neuberg im Burgenland;837;564;34;530;363;68,49;167;31,51
G10410;Neustift bei Güssing;434;288;7;281;210;74,73;71;25,27
G10411;Olbendorf;1.243;846;42;804;596;74,13;208;25,87
G10412;Ollersdorf im Burgenland;831;617;40;577;360;62,39;217;37,61
G10413;Sankt Michael im Burgenland;838;552;16;536;391;72,95;145;27,05
G10414;Stegersbach;2.055;1.358;45;1.313;826;62,91;487;37,09
G10415;Stinatz;966;697;34;663;236;35,6;427;64,4
G10416;Strem;761;502;26;476;360;75,63;116;24,37
G10417;Tobaj;1.100;774;44;730;536;73,42;194;26,58
G10418;Hackerberg;300;185;17;168;121;72,02;47;27,98
G10419;Wörterberg;391;283;11;272;162;59,56;110;40,44
G10420;Großmürbisch;217;142;14;128;76;59,38;52;40,63
G10421;Inzenhof;271;199;14;185;143;77,3;42;22,7
G10422;Kleinmürbisch;210;153;6;147;109;74,15;38;25,85
G10423;Tschanigraben;46;32;4;28;16;57,14;12;42,86
G10424;Heugraben;180;136;10;126;97;76,98;29;23,02
G10425;Rohr im Burgenland;332;229;6;223;162;72,65;61;27,35
G10426;Bildein;276;223;24;199;131;65,83;68;34,17
G10427;Rauchwart;376;293;16;277;186;67,15;91;32,85
G10428;Moschendorf;326;246;10;236;171;72,46;65;27,54
G10499;Wahlkarten - Güssing;0;1.975;74;1.901;979;51,5;922;48,5
G10500;Jennersdorf;14.466;10.857;399;10.458;7.275;69,56;3.183;30,44
G10501;Deutsch Kaltenbrunn;1.452;940;35;905;605;66,85;300;33,15
G10502;Eltendorf;791;523;21;502;365;72,71;137;27,29
G10503;Heiligenkreuz im Lafnitztal;992;657;21;636;495;77,83;141;22,17
G10504;Jennersdorf;3.500;2.233;94;2.139;1.571;73,45;568;26,55
G10505;Minihof-Liebau;907;641;22;619;449;72,54;170;27,46
G10506;Mogersdorf;924;667;32;635;447;70,39;188;29,61
G10507;Neuhaus am Klausenbach;799;497;21;476;348;73,11;128;26,89
G10508;Rudersdorf;1.842;1.216;44;1.172;750;63,99;422;36,01
G10509;Sankt Martin an der Raab;1.703;1.189;44;1.145;796;69,52;349;30,48
G10510;Weichselbaum;611;393;12;381;285;74,8;96;25,2
G10511;Königsdorf;604;444;16;428;324;75,7;104;24,3
G10512;Mühlgraben;341;212;5;207;140;67,63;67;32,37
G10599;Wahlkarten - Jennersdorf;0;1.245;32;1.213;700;57,71;513;42,29
G10600;Mattersburg;31.333;24.624;1.069;23.555;13.071;55,49;10.484;44,51
G10601;Draßburg;918;641;26;615;294;47,8;321;52,2
G10602;Forchtenstein;2.307;1.639;68;1.571;984;62,64;587;37,36
G10603;Hirm;749;558;31;527;257;48,77;270;51,23
G10604;Loipersbach im Burgenland;985;704;38;666;418;62,76;248;37,24
G10605;Marz;1.635;1.202;77;1.125;645;57,33;480;42,67
G10606;Mattersburg;5.600;3.750;145;3.605;1.976;54,81;1.629;45,19
G10607;Neudörfl;3.321;2.294;80;2.214;1.238;55,92;976;44,08
G10608;Pöttelsdorf;607;386;15;371;213;57,41;158;42,59
G10609;Pöttsching;2.316;1.665;59;1.606;808;50,31;798;49,69
G10610;Rohrbach bei Mattersburg;2.191;1.561;92;1.469;861;58,61;608;41,39
G10611;Bad Sauerbrunn;1.678;1.135;28;1.107;597;53,93;510;46,07
G10612;Schattendorf;1.959;1.346;73;1.273;717;56,32;556;43,68
G10613;Sieggraben;1.034;728;45;683;522;76,43;161;23,57
G10614;Sigleß;976;735;43;692;331;47,83;361;52,17
G10615;Wiesen;2.261;1.605;67;1.538;994;64,63;544;35,37
G10616;Antau;608;437;19;418;265;63,4;153;36,6
G10617;Baumgarten;701;505;22;483;191;39,54;292;60,46
G10618;Zemendorf-Stöttera;998;683;39;644;342;53,11;302;46,89
G10619;Krensdorf;489;368;29;339;189;55,75;150;44,25
G10699;Wahlkarten - Mattersburg;0;2.682;73;2.609;1.229;47,11;1.380;52,89
G10700;Neusiedl am See;44.805;34.956;1.429;33.527;20.794;62,02;12.733;37,98
G10701;Andau;1.970;1.455;68;1.387;1.024;73,83;363;26,17
G10702;Apetlon;1.547;1.036;57;979;729;74,46;250;25,54
G10703;Bruckneudorf;2.277;1.627;37;1.590;941;59,18;649;40,82
G10704;Deutsch Jahrndorf;459;349;16;333;234;70,27;99;29,73
G10705;Frauenkirchen;2.321;1.544;65;1.479;964;65,18;515;34,82
G10706;Gattendorf;953;690;32;658;434;65,96;224;34,04
G10707;Gols;3.030;2.211;93;2.118;1.339;63,22;779;36,78
G10708;Halbturn;1.568;1.177;66;1.111;714;64,27;397;35,73
G10709;Illmitz;2.044;1.426;88;1.338;835;62,41;503;37,59
G10710;Jois;1.202;856;30;826;539;65,25;287;34,75
G10711;Kittsee;1.496;1.015;50;965;625;64,77;340;35,23
G10712;Mönchhof;1.867;1.255;54;1.201;822;68,44;379;31,56
G10713;Neusiedl am See;5.801;3.802;118;3.684;1.875;50,9;1.809;49,1
G10714;Nickelsdorf;1.279;931;29;902;586;64,97;316;35,03
G10715;Pama;839;622;21;601;359;59,73;242;40,27
G10716;Pamhagen;1.425;863;74;789;553;70,09;236;29,91
G10717;Parndorf;3.123;2.016;50;1.966;1.240;63,07;726;36,93
G10718;Podersdorf am See;1.747;1.187;56;1.131;658;58,18;473;41,82
G10719;Sankt Andrä am Zicksee;1.159;874;43;831;568;68,35;263;31,65
G10720;Tadten;1.042;697;38;659;398;60,39;261;39,61
G10721;Wallern im Burgenland;1.487;997;60;937;656;70,01;281;29,99
G10722;Weiden am See;1.903;1.445;47;1.398;861;61,59;537;38,41
G10723;Winden am See;1.093;769;41;728;452;62,09;276;37,91
G10724;Zurndorf;1.672;1.299;45;1.254;838;66,83;416;33,17
G10725;Neudorf;585;422;17;405;252;62,22;153;37,78
G10726;Potzneusiedl;431;305;15;290;199;68,62;91;31,38
G10727;Edelstal;485;349;11;338;248;73,37;90;26,63
G10799;Wahlkarten - Neusiedl am See;0;3.737;108;3.629;1.851;51,01;1.778;48,99
G10800;Oberpullendorf;30.928;24.451;1.385;23.066;13.934;60,41;9.132;39,59
G10801;Deutschkreutz;2.564;1.699;93;1.606;990;61,64;616;38,36
G10802;Draßmarkt;1.167;830;54;776;418;53,87;358;46,13
G10803;Frankenau-Unterpullendorf;972;650;23;627;355;56,62;272;43,38
G10804;Großwarasdorf;1.169;813;39;774;419;54,13;355;45,87
G10805;Horitschon;1.511;1.085;76;1.009;661;65,51;348;34,49
G10806;Kaisersdorf;492;363;19;344;218;63,37;126;36,63
G10807;Kobersdorf;1.561;1.178;59;1.119;700;62,56;419;37,44
G10808;Lackenbach;936;587;33;554;380;68,59;174;31,41
G10809;Lockenhaus;1.654;1.175;76;1.099;716;65,15;383;34,85
G10810;Lutzmannsburg;723;542;34;508;337;66,34;171;33,66
G10811;Mannersdorf an der Rabnitz;1.519;1.107;61;1.046;720;68,83;326;31,17
G10812;Markt Sankt Martin;987;731;46;685;401;58,54;284;41,46
G10813;Neckenmarkt;1.383;989;73;916;614;67,03;302;32,97
G10814;Neutal;882;691;47;644;355;55,12;289;44,88
G10815;Nikitsch;1.175;796;50;746;385;51,61;361;48,39
G10816;Oberpullendorf;2.463;1.451;56;1.395;776;55,63;619;44,37
G10817;Pilgersdorf;1.406;992;51;941;629;66,84;312;33,16
G10818;Piringsdorf;725;507;35;472;281;59,53;191;40,47
G10819;Raiding;709;447;36;411;266;64,72;145;35,28
G10820;Ritzing;733;543;28;515;303;58,83;212;41,17
G10821;Steinberg-Dörfl;1.067;783;37;746;426;57,1;320;42,9
G10822;Stoob;1.139;851;34;817;504;61,69;313;38,31
G10823;Weppersdorf;1.479;1.097;75;1.022;660;64,58;362;35,42
G10824;Lackendorf;494;321;24;297;187;62,96;110;37,04
G10825;Unterfrauenhaid;516;368;37;331;255;77,04;76;22,96
G10826;Unterrabnitz-Schwendgraben;527;389;23;366;253;69,13;113;30,87
G10827;Weingraben;289;226;20;206;125;60,68;81;39,32
G10828;Oberloisdorf;686;511;37;474;323;68,14;151;31,86
G10899;Wahlkarten - Oberpullendorf;0;2.729;109;2.620;1.277;48,74;1.343;51,26
G10900;Oberwart;43.295;34.211;1.281;32.930;22.406;68,04;10.524;31,96
G10901;Bad Tatzmannsdorf;1.228;852;31;821;508;61,88;313;38,12
G10902;Bernstein;1.803;1.254;62;1.192;846;70,97;346;29,03
G10903;Deutsch Schützen-Eisenberg;978;723;32;691;469;67,87;222;32,13
G10904;Grafenschachen;1.052;832;42;790;652;82,53;138;17,47
