GKZ;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;Hofer;%;Van der Bellen;%
G00000;Österreich;6.399.607;4.749.339;151.786;4.597.553;2.124.661;46,21;2.472.892;53,79
G00099;Wahlkarten - Österreich;0;617.539;11.437;606.102;196.454;32,41;409.648;67,59
G10000;Burgenland;232.393;182.505;6.777;175.728;102.147;58,13;73.581;41,87
G1A000;Burgenland Nord;122.210;96.365;3.485;92.880;50.418;54,28;42.462;45,72
G1B000;Burgenland Süd;110.183;86.140;3.292;82.848;51.729;62,44;31.119;37,56
G10099;Wahlkarten - Burgenland;0;16.804;356;16.448;7.263;44,16;9.185;55,84
G10100;Eisenstadt(Stadt);10.597;8.445;261;8.184;3.753;45,86;4.431;54,14
G10101;Eisenstadt;10.597;7.385;239;7.146;3.371;47,17;3.775;52,83
G10199;Wahlkarten - Eisenstadt(Stadt);0;1.060;22;1.038;382;36,80;656;63,20
G10200;Rust(Stadt);1.549;1.243;46;1.197;681;56,89;516;43,11
G10201;Rust;1.549;1.084;44;1.040;609;58,56;431;41,44
G10299;Wahlkarten - Rust(Stadt);0;159;2;157;72;45,86;85;54,14
G10300;Eisenstadt-Umgebung;33.758;26.957;1.061;25.896;13.849;53,48;12.047;46,52
G10301;Breitenbrunn am Neusiedler See;1.591;1.094;46;1.048;580;55,34;468;44,66
G10302;Donnerskirchen;1.477;1.035;33;1.002;630;62,87;372;37,13
G10303;Großhöflein;1.675;1.189;60;1.129;661;58,55;468;41,45
G10304;Hornstein;2.300;1.585;63;1.522;753;49,47;769;50,53
G10305;Klingenbach;904;630;23;607;324;53,38;283;46,62
G10306;Leithaprodersdorf;962;756;43;713;407;57,08;306;42,92
G10307;Mörbisch am See;1.832;1.336;43;1.293;793;61,33;500;38,67
G10308;Müllendorf;1.121;836;33;803;420;52,30;383;47,70
G10309;Neufeld an der Leitha;2.522;1.844;58;1.786;939;52,58;847;47,42
G10310;Oggau am Neusiedler See;1.493;1.110;57;1.053;651;61,82;402;38,18
G10311;Oslip;1.026;731;31;700;348;49,71;352;50,29
G10312;Purbach am Neusiedler See;2.350;1.655;59;1.596;964;60,40;632;39,60
G10313;Sankt Margarethen im Burgenland;2.296;1.700;64;1.636;959;58,62;677;41,38
G10314;Schützen am Gebirge;1.111;782;54;728;433;59,48;295;40,52
G10315;Siegendorf;2.220;1.622;66;1.556;754;48,46;802;51,54
G10316;Steinbrunn;2.019;1.521;58;1.463;735;50,24;728;49,76
G10317;Trausdorf an der Wulka;1.649;1.212;54;1.158;568;49,05;590;50,95
G10318;Wimpassing an der Leitha;1.129;803;34;769;458;59,56;311;40,44
G10319;Wulkaprodersdorf;1.488;1.110;58;1.052;474;45,06;578;54,94
G10320;Loretto;392;288;19;269;167;62,08;102;37,92
G10321;Stotzing;653;454;24;430;266;61,86;164;38,14
G10322;Zillingtal;738;533;15;518;255;49,23;263;50,77
G10323;Zagersdorf;810;596;27;569;286;50,26;283;49,74
G10399;Wahlkarten - Eisenstadt-Umgebung;0;2.535;39;2.496;1.024;41,03;1.472;58,97
G10400;Güssing;21.390;16.611;699;15.912;9.863;61,98;6.049;38,02
G10401;Bocksdorf;683;518;29;489;332;67,89;157;32,11
G10402;Burgauberg-Neudauberg;1.100;798;28;770;540;70,13;230;29,87
G10403;Eberau;755;517;25;492;324;65,85;168;34,15
G10404;Gerersdorf-Sulz;835;576;24;552;309;55,98;243;44,02
G10405;Güssing;2.999;1.975;96;1.879;1.170;62,27;709;37,73
G10406;Güttenbach;734;476;24;452;215;47,57;237;52,43
G10407;Heiligenbrunn;667;443;20;423;297;70,21;126;29,79
G10408;Kukmirn;1.653;1.147;27;1.120;760;67,86;360;32,14
G10409;Neuberg im Burgenland;838;600;27;573;389;67,89;184;32,11
G10410;Neustift bei Güssing;431;289;3;286;200;69,93;86;30,07
G10411;Olbendorf;1.233;837;38;799;577;72,22;222;27,78
G10412;Ollersdorf im Burgenland;824;619;34;585;345;58,97;240;41,03
G10413;Sankt Michael im Burgenland;828;592;21;571;383;67,08;188;32,92
G10414;Stegersbach;2.056;1.382;58;1.324;793;59,89;531;40,11
G10415;Stinatz;970;724;31;693;227;32,76;466;67,24
G10416;Strem;753;512;28;484;359;74,17;125;25,83
G10417;Tobaj;1.110;832;39;793;556;70,11;237;29,89
G10418;Hackerberg;294;186;10;176;116;65,91;60;34,09
G10419;Wörterberg;393;291;8;283;163;57,60;120;42,40
G10420;Großmürbisch;213;150;13;137;73;53,28;64;46,72
G10421;Inzenhof;272;181;7;174;128;73,56;46;26,44
G10422;Kleinmürbisch;209;152;6;146;111;76,03;35;23,97
G10423;Tschanigraben;47;28;3;25;13;52,00;12;48,00
G10424;Heugraben;181;146;4;142;105;73,94;37;26,06
G10425;Rohr im Burgenland;338;228;6;222;159;71,62;63;28,38
G10426;Bildein;269;201;20;181;118;65,19;63;34,81
G10427;Rauchwart;376;284;12;272;173;63,60;99;36,40
G10428;Moschendorf;329;258;7;251;177;70,52;74;29,48
G10499;Wahlkarten - Güssing;0;1.669;51;1.618;751;46,42;867;53,58
G10500;Jennersdorf;14.455;10.952;332;10.620;7.081;66,68;3.539;33,32
G10501;Deutsch Kaltenbrunn;1.462;995;33;962;628;65,28;334;34,72
G10502;Eltendorf;794;567;11;556;387;69,60;169;30,40
G10503;Heiligenkreuz im Lafnitztal;988;675;19;656;477;72,71;179;27,29
G10504;Jennersdorf;3.487;2.341;75;2.266;1.638;72,29;628;27,71
G10505;Minihof-Liebau;895;645;17;628;440;70,06;188;29,94
G10506;Mogersdorf;940;682;28;654;431;65,90;223;34,10
G10507;Neuhaus am Klausenbach;794;507;14;493;339;68,76;154;31,24
G10508;Rudersdorf;1.835;1.258;46;1.212;713;58,83;499;41,17
G10509;Sankt Martin an der Raab;1.706;1.240;41;1.199;803;66,97;396;33,03
G10510;Weichselbaum;609;382;14;368;274;74,46;94;25,54
G10511;Königsdorf;607;433;10;423;312;73,76;111;26,24
G10512;Mühlgraben;338;231;6;225;140;62,22;85;37,78
G10599;Wahlkarten - Jennersdorf;0;996;18;978;499;51,02;479;48,98
G10600;Mattersburg;31.451;24.633;921;23.712;12.303;51,89;11.409;48,11
G10601;Draßburg;921;682;25;657;287;43,68;370;56,32
G10602;Forchtenstein;2.305;1.666;62;1.604;972;60,60;632;39,40
G10603;Hirm;749;558;18;540;262;48,52;278;51,48
G10604;Loipersbach im Burgenland;989;751;22;729;422;57,89;307;42,11
G10605;Marz;1.645;1.182;64;1.118;576;51,52;542;48,48
G10606;Mattersburg;5.640;3.904;135;3.769;1.934;51,31;1.835;48,69
G10607;Neudörfl;3.367;2.416;72;2.344;1.242;52,99;1.102;47,01
G10608;Pöttelsdorf;602;401;9;392;215;54,85;177;45,15
G10609;Pöttsching;2.334;1.768;65;1.703;835;49,03;868;50,97
G10610;Rohrbach bei Mattersburg;2.192;1.566;87;1.479;810;54,77;669;45,23
G10611;Bad Sauerbrunn;1.713;1.203;28;1.175;597;50,81;578;49,19
G10612;Schattendorf;1.945;1.371;74;1.297;663;51,12;634;48,88
G10613;Sieggraben;1.033;725;38;687;499;72,63;188;27,37
G10614;Sigleß;972;759;23;736;342;46,47;394;53,53
G10615;Wiesen;2.231;1.528;51;1.477;913;61,81;564;38,19
G10616;Antau;619;449;20;429;265;61,77;164;38,23
G10617;Baumgarten;703;512;17;495;189;38,18;306;61,82
G10618;Zemendorf-Stöttera;998;704;40;664;324;48,80;340;51,20
G10619;Krensdorf;493;362;17;345;170;49,28;175;50,72
G10699;Wahlkarten - Mattersburg;0;2.126;54;2.072;786;37,93;1.286;62,07
G10700;Neusiedl am See;44.855;35.087;1.196;33.891;19.832;58,52;14.059;41,48
G10701;Andau;1.958;1.482;53;1.429;1.015;71,03;414;28,97
G10702;Apetlon;1.541;1.059;46;1.013;691;68,21;322;31,79
G10703;Bruckneudorf;2.290;1.663;50;1.613;903;55,98;710;44,02
G10704;Deutsch Jahrndorf;447;348;14;334;211;63,17;123;36,83
G10705;Frauenkirchen;2.345;1.527;65;1.462;928;63,47;534;36,53
G10706;Gattendorf;945;727;22;705;444;62,98;261;37,02
G10707;Gols;3.046;2.266;72;2.194;1.301;59,30;893;40,70
G10708;Halbturn;1.568;1.210;50;1.160;691;59,57;469;40,43
G10709;Illmitz;2.061;1.518;80;1.438;819;56,95;619;43,05
G10710;Jois;1.219;913;18;895;540;60,34;355;39,66
G10711;Kittsee;1.490;1.083;52;1.031;635;61,59;396;38,41
G10712;Mönchhof;1.863;1.302;48;1.254;822;65,55;432;34,45
G10713;Neusiedl am See;5.834;3.962;117;3.845;1.840;47,85;2.005;52,15
G10714;Nickelsdorf;1.271;968;25;943;556;58,96;387;41,04
G10715;Pama;855;661;23;638;345;54,08;293;45,92
G10716;Pamhagen;1.419;929;44;885;571;64,52;314;35,48
G10717;Parndorf;3.138;2.168;64;2.104;1.272;60,46;832;39,54
G10718;Podersdorf am See;1.737;1.213;44;1.169;648;55,43;521;44,57
G10719;Sankt Andrä am Zicksee;1.152;870;29;841;548;65,16;293;34,84
G10720;Tadten;1.031;699;29;670;371;55,37;299;44,63
G10721;Wallern im Burgenland;1.466;1.045;47;998;668;66,93;330;33,07
G10722;Weiden am See;1.906;1.460;59;1.401;837;59,74;564;40,26
G10723;Winden am See;1.088;768;25;743;424;57,07;319;42,93
G10724;Zurndorf;1.684;1.307;40;1.267;802;63,30;465;36,70
G10725;Neudorf;582;437;9;428;244;57,01;184;42,99
G10726;Potzneusiedl;424;323;9;314;204;64,97;110;35,03
G10727;Edelstal;495;357;11;346;230;66,47;116;33,53
G10799;Wahlkarten - Neusiedl am See;0;2.822;51;2.771;1.272;45,90;1.499;54,10
G10800;Oberpullendorf;30.957;24.331;1.109;23.222;13.111;56,46;10.111;43,54
G10801;Deutschkreutz;2.547;1.665;76;1.589;916;57,65;673;42,35
G10802;Draßmarkt;1.176;850;44;806;375;46,53;431;53,47
G10803;Frankenau-Unterpullendorf;961;669;23;646;330;51,08;316;48,92
G10804;Großwarasdorf;1.166;837;27;810;412;50,86;398;49,14
G10805;Horitschon;1.516;1.155;53;1.102;700;63,52;402;36,48
G10806;Kaisersdorf;496;390;20;370;207;55,95;163;44,05
G10807;Kobersdorf;1.561;1.205;49;1.156;682;59,00;474;41,00
G10808;Lackenbach;939;618;31;587;360;61,33;227;38,67
G10809;Lockenhaus;1.646;1.167;67;1.100;672;61,09;428;38,91
G10810;Lutzmannsburg;724;523;29;494;301;60,93;193;39,07
G10811;Mannersdorf an der Rabnitz;1.513;1.126;51;1.075;693;64,47;382;35,53
G10812;Markt Sankt Martin;996;765;56;709;392;55,29;317;44,71
G10813;Neckenmarkt;1.392;1.011;54;957;585;61,13;372;38,87
G10814;Neutal;890;709;40;669;352;52,62;317;47,38
G10815;Nikitsch;1.175;807;42;765;376;49,15;389;50,85
