Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  LPS;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
101;Bezirk Affoltern;ZH;0; 11,7 ; 4,7 ; 16,6 ; 31,3 ;; 3,7 ; 0,2 ; 12,6 ; 6,3 ; 0,1 ; 7,8 ;; 0,2 ; 2,4 ;;; 2,4 ;51,5  
102;Bezirk Andelfingen;ZH;0; 9,2 ; 3,1 ; 12,9 ; 40,2 ;; 3,6 ; 0,1 ; 10,1 ; 8,3 ; 0,1 ; 6,7 ;; 0,2 ; 3,4 ;;; 2,1 ;54,2  
103;Bezirk Bülach;ZH;0; 10,2 ; 4,6 ; 15,9 ; 37,3 ;; 3,5 ; 0,1 ; 10,6 ; 6,8 ; 0,1 ; 5,2 ;; 0,3 ; 2,9 ;;; 2,4 ;42,0  
104;Bezirk Dielsdorf;ZH;0; 9,2 ; 4,6 ; 14,2 ; 43,3 ;; 2,3 ; 0,2 ; 10,0 ; 5,5 ; 0,1 ; 4,9 ;; 0,3 ; 3,5 ;;; 2,2 ;42,2  
105;Bezirk Hinwil;ZH;0; 8,5 ; 5,0 ; 13,9 ; 36,6 ;; 4,9 ; 0,1 ; 10,4 ; 6,0 ; 0,1 ; 7,1 ;; 0,3 ; 4,9 ;;; 2,0 ;46,1  
106;Bezirk Horgen;ZH;0; 14,7 ; 7,5 ; 16,6 ; 29,8 ;; 3,2 ; 0,2 ; 11,1 ; 5,8 ; 0,1 ; 7,0 ;; 0,2 ; 1,4 ;;; 2,4 ;48,1  
107;Bezirk Meilen;ZH;0; 20,8 ; 4,9 ; 13,9 ; 30,9 ;; 2,2 ; 0,1 ; 12,2 ; 4,5 ; 0,1 ; 6,3 ;; 0,1 ; 1,9 ;;; 2,0 ;54,4  
108;Bezirk Pfäffikon;ZH;0; 9,5 ; 3,7 ; 14,5 ; 36,9 ;; 4,3 ; 0,1 ; 10,9 ; 6,8 ; 0,2 ; 7,0 ;; 0,3 ; 3,7 ;;; 2,0 ;49,1  
109;Bezirk Uster;ZH;0; 10,9 ; 4,7 ; 16,6 ; 32,0 ;; 2,5 ; 0,1 ; 13,2 ; 7,8 ; 0,2 ; 6,8 ;; 0,3 ; 2,4 ;;; 2,7 ;45,6  
110;Bezirk Winterthur;ZH;0; 9,8 ; 4,5 ; 19,9 ; 28,4 ;; 4,8 ; 0,1 ; 11,5 ; 5,1 ; 0,2 ; 9,0 ;; 0,2 ; 2,5 ;;; 3,8 ;48,9  
111;Bezirk Dietikon;ZH;0; 13,1 ; 7,5 ; 16,5 ; 36,1 ;; 2,6 ; 0,1 ; 9,2 ; 5,6 ; 0,2 ; 5,5 ;; 0,3 ; 1,1 ;;; 2,1 ;41,5  
112;Bezirk Zürich;ZH;0; 10,8 ; 4,9 ; 28,6 ; 18,7 ;; 2,0 ; 0,3 ; 12,2 ; 3,0 ; 0,5 ; 13,0 ;; 0,4 ; 0,8 ;;; 5,0 ;46,0  
241;Arrondissement administratif Jura bernois;BE;0; 9,2 ; 4,9 ; 24,6 ; 29,7 ;; 4,3 ;; 1,8 ; 5,1 ; 0,5 ; 8,5 ;; 0,2 ; 3,5 ;;; 7,9 ;38,2  
242;Verwaltungskreis Biel/Bienne;BE;0; 10,2 ; 1,9 ; 25,8 ; 24,9 ;; 2,8 ;; 5,8 ; 11,3 ; 0,5 ; 10,8 ;; 0,5 ; 1,8 ;;; 3,7 ;42,5  
243;Verwaltungskreis Seeland;BE;0; 7,5 ; 1,5 ; 16,5 ; 33,5 ;; 3,6 ;; 5,0 ; 20,1 ; 0,3 ; 6,6 ;; 0,8 ; 2,0 ;;; 2,8 ;49,4  
244;Verwaltungskreis Oberaargau;BE;0; 9,9 ; 1,2 ; 17,0 ; 34,3 ;; 4,5 ;; 4,6 ; 15,9 ; 0,2 ; 5,4 ;; 0,5 ; 3,6 ;;; 2,9 ;48,2  
245;Verwaltungskreis Emmental;BE;0; 6,3 ; 1,3 ; 15,3 ; 36,5 ;; 4,9 ;; 3,9 ; 18,0 ; 0,2 ; 6,8 ;; 0,6 ; 3,6 ;;; 2,6 ;48,8  
246;Verwaltungskreis Bern-Mittelland;BE;0; 9,5 ; 2,7 ; 22,3 ; 22,4 ;; 3,8 ;; 6,3 ; 14,1 ; 0,5 ; 12,4 ;; 0,5 ; 2,2 ;;; 3,2 ;54,4  
247;Verwaltungskreis Thun;BE;0; 7,3 ; 1,7 ; 15,6 ; 32,9 ;; 5,5 ;; 5,2 ; 15,6 ; 0,2 ; 7,5 ;; 0,6 ; 4,8 ;;; 3,0 ;50,3  
248;Verwaltungskreis Obersimmental-Saanen;BE;0; 7,9 ; 0,8 ; 7,3 ; 53,1 ;; 2,2 ;; 3,8 ; 15,0 ; 0,1 ; 3,6 ;; 0,2 ; 4,3 ;;; 1,8 ;54,8  
249;Verwaltungskreis Frutigen-Niedersimmental;BE;0; 6,0 ; 0,8 ; 11,4 ; 39,2 ;; 6,6 ;; 5,1 ; 15,5 ; 0,2 ; 5,0 ;; 0,6 ; 7,5 ;;; 2,1 ;54,9  
250;Verwaltungskreis Interlaken-Oberhasli;BE;0; 9,1 ; 1,2 ; 15,5 ; 35,2 ;; 3,1 ;; 3,6 ; 17,0 ; 0,1 ; 8,2 ;; 0,7 ; 3,6 ;;; 2,6 ;47,5  
301;Amt Entlebuch;LU;0; 13,7 ; 42,9 ; 3,3 ; 33,2 ;; 0,2 ;; 2,0 ; 1,0 ;; 3,3 ;; 0,1 ;;;; 0,3 ;60,8  
302;Amt Hochdorf;LU;0; 16,4 ; 27,7 ; 10,9 ; 29,1 ;; 0,9 ;; 5,3 ; 2,5 ;; 6,3 ;; 0,3 ;;;; 0,5 ;48,1  
303;Amt Luzern;LU;0; 17,9 ; 19,5 ; 16,5 ; 22,4 ;; 0,8 ;; 8,0 ; 2,4 ;; 11,8 ;; 0,2 ;;;; 0,5 ;49,0  
304;Amt Sursee;LU;0; 20,8 ; 31,6 ; 7,5 ; 24,5 ;; 0,8 ;; 5,7 ; 2,0 ;; 6,4 ;; 0,1 ;;;; 0,4 ;54,6  
305;Amt Willisau;LU;0; 20,7 ; 37,3 ; 5,3 ; 26,7 ;; 0,5 ;; 3,4 ; 1,7 ;; 3,9 ;; 0,2 ;;;; 0,3 ;53,7  
400;Kanton Uri;UR;0; 74,5 ;; 21,4 ;;;;;;;;;;;;;; 4,1 ;50,1  
501;Bezirk Einsiedeln;SZ;0; 7,0 ; 32,8 ; 18,4 ; 28,5 ;; 1,4 ;;; 2,5 ;; 3,0 ;;;;;; 6,5 ;53,5  
502;Bezirk Gersau;SZ;0; 22,4 ; 23,0 ; 10,3 ; 31,4 ;; 1,4 ;;; 4,2 ;; 5,5 ;;;;;; 1,8 ;51,1  
503;Bezirk Höfe;SZ;0; 19,1 ; 15,6 ; 14,3 ; 40,0 ;; 0,8 ;;; 4,8 ;; 4,2 ;;;;;; 1,2 ;51,0  
504;Bezirk Küssnacht (SZ);SZ;0; 24,2 ; 17,5 ; 15,1 ; 30,7 ;; 0,5 ;;; 3,9 ;; 4,3 ;;;;;; 3,7 ;52,2  
505;Bezirk March;SZ;0; 15,2 ; 14,0 ; 17,7 ; 43,1 ;; 1,2 ;;; 4,1 ;; 3,6 ;;;;;; 1,2 ;44,7  
506;Bezirk Schwyz;SZ;0; 14,1 ; 24,0 ; 14,6 ; 38,6 ;; 1,3 ;;; 2,5 ;; 3,9 ;;;;;; 1,0 ;53,1  
600;Kanton Obwalden;OW;0;;;; 43,1 ;;;;;;;;;;;;; 56,9 ;64,3  
700;Kanton Nidwalden;NW;0; 35,2 ;;; 45,2 ;;;;;;; 19,6 ;;;;;;;60,9  
800;Kanton Glarus;GL;0;;; 24,6 ;;;;;; 61,7 ;;;;;;;; 13,7 ;34,2  
900;Kanton Zug;ZG;0; 19,2 ; 24,3 ; 5,3 ; 28,3 ;;;; 6,8 ;;; 15,4 ;;;;;; 0,7 ;55,1  
