Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
101;Bezirk Affoltern;ZH;1; 15,8 ; 4,0 ; 18,6 ; 33,9 ; 3,8 ;; 8,7 ; 4,2 ; 0,2 ; 5,8 ;; 0,1 ; 2,1 ;;; 2,9 ;51,8  
102;Bezirk Andelfingen;ZH;1; 13,1 ; 2,5 ; 14,0 ; 41,3 ; 3,8 ;; 7,1 ; 6,3 ; 0,1 ; 5,7 ;; 0,1 ; 3,5 ;;; 2,5 ;54,9  
103;Bezirk Bülach;ZH;1; 13,6 ; 3,7 ; 17,4 ; 39,5 ; 3,5 ;; 7,1 ; 4,5 ; 0,1 ; 4,3 ;; 0,2 ; 3,4 ;;; 2,6 ;41,8  
104;Bezirk Dielsdorf;ZH;1; 12,2 ; 3,3 ; 15,4 ; 46,1 ; 2,3 ;; 6,3 ; 3,6 ; 0,1 ; 4,3 ;; 0,3 ; 3,9 ;;; 2,3 ;42,3  
105;Bezirk Hinwil;ZH;1; 12,1 ; 4,4 ; 15,4 ; 38,0 ; 5,1 ;; 6,8 ; 4,4 ; 0,1 ; 5,9 ;; 0,2 ; 5,0 ;;; 2,6 ;45,8  
106;Bezirk Horgen;ZH;1; 19,4 ; 7,1 ; 18,1 ; 31,3 ; 3,0 ;; 7,8 ; 3,6 ; 0,1 ; 5,5 ;; 0,1 ; 1,4 ;;; 2,7 ;49,1  
107;Bezirk Meilen;ZH;1; 26,4 ; 4,1 ; 16,0 ; 31,4 ; 2,1 ;; 8,0 ; 2,8 ; 0,1 ; 4,9 ;; 0,1 ; 1,7 ;;; 2,4 ;56,8  
108;Bezirk Pfäffikon;ZH;1; 12,4 ; 3,1 ; 16,0 ; 39,2 ; 5,2 ;; 7,4 ; 4,9 ; 0,1 ; 5,7 ;; 0,2 ; 3,5 ;;; 2,3 ;49,5  
109;Bezirk Uster;ZH;1; 15,2 ; 4,0 ; 18,8 ; 33,9 ; 2,6 ;; 9,4 ; 5,4 ; 0,2 ; 5,6 ;; 0,2 ; 2,1 ;;; 2,7 ;45,9  
110;Bezirk Winterthur;ZH;1; 12,5 ; 3,7 ; 21,7 ; 29,9 ; 5,0 ;; 8,5 ; 4,3 ; 0,2 ; 7,2 ;; 0,2 ; 2,2 ;;; 4,7 ;50,1  
111;Bezirk Dietikon;ZH;1; 16,6 ; 6,9 ; 18,0 ; 37,2 ; 2,4 ;; 6,8 ; 3,4 ; 0,1 ; 4,2 ;; 0,2 ; 1,0 ;;; 3,1 ;41,2  
112;Bezirk Zürich;ZH;1; 14,2 ; 3,8 ; 31,3 ; 18,1 ; 1,9 ;; 9,2 ; 2,0 ; 0,5 ; 10,7 ;; 0,2 ; 0,7 ;;; 7,4 ;46,2  
241;Arrondissement administratif Jura bernois;BE;1; 8,8 ; 2,8 ; 25,9 ; 36,6 ; 4,1 ;; 2,3 ; 5,6 ; 2,1 ; 6,7 ;; 0,6 ; 3,4 ;;; 1,1 ;37,6  
242;Verwaltungskreis Biel/Bienne;BE;1; 11,2 ; 1,7 ; 26,0 ; 27,9 ; 3,4 ;; 5,7 ; 9,7 ; 0,6 ; 10,2 ;; 0,4 ; 1,4 ;;; 1,7 ;40,2  
243;Verwaltungskreis Seeland;BE;1; 8,5 ; 1,4 ; 16,4 ; 38,3 ; 4,0 ;; 5,3 ; 16,2 ; 0,3 ; 5,6 ;; 0,8 ; 1,8 ;;; 1,5 ;47,4  
244;Verwaltungskreis Oberaargau;BE;1; 10,3 ; 1,3 ; 15,6 ; 39,6 ; 4,3 ;; 4,8 ; 13,4 ; 0,2 ; 5,1 ;; 0,5 ; 3,3 ;;; 1,5 ;45,1  
245;Verwaltungskreis Emmental;BE;1; 6,6 ; 1,3 ; 14,7 ; 40,7 ; 4,5 ;; 4,9 ; 15,1 ; 0,3 ; 5,9 ;; 0,4 ; 4,0 ;;; 1,6 ;47,5  
246;Verwaltungskreis Bern-Mittelland;BE;1; 10,6 ; 2,3 ; 23,9 ; 25,1 ; 3,9 ;; 7,3 ; 11,1 ; 0,7 ; 11,0 ;; 0,4 ; 1,9 ;;; 1,8 ;53,3  
247;Verwaltungskreis Thun;BE;1; 7,7 ; 1,7 ; 14,9 ; 39,0 ; 6,2 ;; 5,7 ; 10,9 ; 0,2 ; 7,3 ;; 0,5 ; 4,2 ;;; 1,7 ;49,1  
248;Verwaltungskreis Obersimmental-Saanen;BE;1; 9,5 ; 0,6 ; 6,1 ; 58,3 ; 2,1 ;; 4,9 ; 10,1 ; 0,2 ; 2,9 ;; 0,3 ; 3,8 ;;; 1,3 ;54,5  
249;Verwaltungskreis Frutigen-Niedersimmental;BE;1; 5,9 ; 0,9 ; 10,6 ; 45,2 ; 6,7 ;; 5,7 ; 10,7 ; 0,2 ; 4,6 ;; 0,4 ; 7,5 ;;; 1,5 ;54,6  
250;Verwaltungskreis Interlaken-Oberhasli;BE;1; 8,0 ; 1,0 ; 14,5 ; 42,2 ; 3,3 ;; 3,9 ; 12,9 ; 0,2 ; 8,6 ;; 0,5 ; 3,2 ;;; 1,8 ;47,5  
311;Wahlkreis Luzern-Stadt;LU;1; 15,4 ; 14,1 ; 25,8 ; 19,5 ; 0,7 ;; 8,7 ; 1,4 ;; 13,3 ;; 0,1 ;;;; 1,0 ;49,8  
312;Wahlkreis Luzern-Land;LU;1; 19,6 ; 18,5 ; 15,0 ; 29,4 ; 0,7 ;; 6,7 ; 1,5 ;; 7,7 ;; 0,1 ;;;; 0,8 ;49,0  
313;Wahlkreis Hochdorf;LU;1; 16,8 ; 25,0 ; 11,4 ; 33,5 ; 0,7 ;; 4,9 ; 1,6 ;; 5,4 ;; 0,1 ;;;; 0,6 ;48,9  
314;Wahlkreis Sursee;LU;1; 20,9 ; 28,7 ; 9,2 ; 27,8 ; 0,6 ;; 5,5 ; 1,3 ;; 5,4 ;; 0,1 ;;;; 0,5 ;54,8  
315;Wahlkreis Willisau;LU;1; 20,4 ; 33,0 ; 6,5 ; 31,3 ; 0,5 ;; 3,2 ; 1,2 ;; 3,3 ;; 0,1 ;;;; 0,5 ;51,2  
316;Wahlkreis Entlebuch;LU;1; 16,8 ; 35,8 ; 4,8 ; 36,5 ; 0,4 ;; 1,9 ; 0,9 ;; 2,5 ;; 0,1 ;;;; 0,4 ;60,7  
9030;LU-Ausland-CH;LU;1; 16,9 ; 16,7 ; 19,8 ; 20,6 ; 0,7 ;; 7,8 ; 2,2 ;; 14,5 ;; 0,1 ;;;; 0,7 ;32,1  
400;Kanton Uri;UR;1;; 26,9 ;; 44,2 ;;;;;; 26,3 ;;;;;; 2,7 ;57,8  
9040;UR-Ausland-CH;UR;1;; 25,3 ;; 26,6 ;;;;;; 25,3 ;;;;;; 22,8 ;17,6  
501;Bezirk Einsiedeln;SZ;1; 18,0 ; 25,3 ; 13,6 ; 38,7 ;;; 3,2 ;;; 1,2 ;;;;;;;56,3  
502;Bezirk Gersau;SZ;1; 26,4 ; 26,3 ; 10,5 ; 33,5 ;;; 1,3 ;;; 2,1 ;;;;;;;56,3  
503;Bezirk Höfe;SZ;1; 25,8 ; 14,2 ; 11,9 ; 43,3 ;;; 3,5 ;;; 1,3 ;;;;;;;53,8  
504;Bezirk Küssnacht (SZ);SZ;1; 32,9 ; 20,6 ; 11,0 ; 29,9 ;;; 3,8 ;;; 1,7 ;;;;;;;57,3  
505;Bezirk March;SZ;1; 17,1 ; 15,5 ; 15,1 ; 48,3 ;;; 2,7 ;;; 1,3 ;;;;;;;47,6  
506;Bezirk Schwyz;SZ;1; 18,1 ; 22,1 ; 12,8 ; 43,2 ;;; 2,3 ;;; 1,5 ;;;;;;;56,4  
600;Kanton Obwalden;OW;1;;;; 34,5 ;;;;;;;;;;;; 65,5 ;59,5  
700;Kanton Nidwalden;NW;1;;;; 82,8 ;;;;;;;;;;;; 17,2 ;58,3  
800;Kanton Glarus;GL;1;;; 45,0 ;;;;; 51,5 ;;;;;;;; 3,5 ;41,5  
900;Kanton Zug;ZG;1; 17,6 ; 26,4 ; 13,8 ; 30,5 ;;; 3,6 ;;; 7,2 ;;;;;; 1,0 ;53,7  
1001;District de la Broye;FR;1; 14,1 ; 24,2 ; 22,0 ; 27,5 ; 0,6 ; 1,0 ; 1,9 ; 2,0 ;; 5,3 ;;; 1,3 ;;;;45,5  
1002;District de la Glâne;FR;1; 16,3 ; 24,0 ; 19,8 ; 29,8 ; 0,4 ; 1,1 ; 1,5 ; 0,8 ;; 5,1 ;;; 1,1 ;;;;43,2  
1003;District de la Gruyère;FR;1; 20,1 ; 24,2 ; 22,0 ; 24,4 ; 0,4 ; 0,9 ; 2,2 ; 0,8 ;; 4,3 ;;; 0,6 ;;;;48,0  
1004;District de la Sarine;FR;1; 12,9 ; 23,4 ; 30,6 ; 18,6 ; 0,5 ; 2,8 ; 3,1 ; 0,8 ;; 7,0 ;;; 0,4 ;;;;48,3  
1005;Bezirk See / District du Lac;FR;1; 16,7 ; 13,5 ; 21,4 ; 31,9 ; 1,4 ; 0,9 ; 5,8 ; 2,9 ;; 4,4 ;;; 1,2 ;;;;49,7  
1006;Bezirk Sense;FR;1; 9,1 ; 25,8 ; 19,7 ; 32,3 ; 0,8 ; 2,5 ; 4,0 ; 1,5 ;; 3,6 ;;; 0,8 ;;;;50,0  
1007;District de la Veveyse;FR;1; 13,1 ; 20,9 ; 23,8 ; 31,6 ; 0,8 ; 1,1 ; 2,2 ; 0,9 ;; 4,9 ;;; 0,7 ;;;;42,4  
9100;FR-CH de l'étranger;FR;1; 11,0 ; 21,1 ; 24,0 ; 25,5 ; 0,5 ; 1,7 ; 4,1 ; 1,1 ;; 9,8 ;;; 1,3 ;;;;25,9  
1101;Bezirk Gäu;SO;1; 21,0 ; 23,6 ; 11,1 ; 34,2 ; 0,8 ;; 3,0 ; 2,6 ;; 2,4 ;;; 0,5 ;;; 0,8 ;50,2  
1102;Bezirk Thal;SO;1; 18,6 ; 30,8 ; 8,9 ; 33,3 ; 0,6 ;; 1,9 ; 2,1 ;; 2,1 ;;; 0,7 ;;; 1,0 ;55,6  
1103;Bezirk Bucheggberg;SO;1; 32,7 ; 5,3 ; 16,6 ; 27,7 ; 0,9 ;; 3,8 ; 6,9 ;; 4,8 ;;; 0,6 ;;; 0,7 ;54,7  
1104;Bezirk Dorneck;SO;1; 17,6 ; 13,5 ; 19,0 ; 27,7 ; 1,2 ;; 4,9 ; 2,6 ;; 11,9 ;;; 0,3 ;;; 1,2 ;52,0  
1105;Bezirk Gösgen;SO;1; 17,2 ; 15,9 ; 22,1 ; 31,9 ; 1,8 ;; 2,8 ; 2,5 ;; 4,2 ;;; 0,6 ;;; 0,9 ;49,6  
1106;Bezirk Wasseramt;SO;1; 20,4 ; 13,6 ; 23,8 ; 27,6 ; 1,0 ;; 3,2 ; 4,4 ;; 4,6 ;;; 0,5 ;;; 1,0 ;48,5  
1107;Bezirk Lebern;SO;1; 23,3 ; 11,4 ; 20,1 ; 29,0 ; 0,9 ;; 3,7 ; 4,8 ;; 5,0 ;;; 0,6 ;;; 0,9 ;47,6  
1108;Bezirk Olten;SO;1; 19,8 ; 12,5 ; 23,4 ; 28,8 ; 2,1 ;; 3,6 ; 2,8 ;; 5,3 ;;; 0,5 ;;; 1,3 ;49,9  
1109;Bezirk Solothurn;SO;1; 25,0 ; 11,2 ; 28,4 ; 14,6 ; 1,0 ;; 4,5 ; 2,8 ;; 11,8 ;;; 0,1 ;;; 0,6 ;55,3  
1110;Bezirk Thierstein;SO;1; 24,9 ; 18,1 ; 10,2 ; 35,7 ; 0,6 ;; 2,6 ; 2,3 ;; 4,3 ;;; 0,5 ;;; 0,8 ;49,4  
1200;Kanton Basel-Stadt;BS;1; 21,4 ; 6,5 ; 33,3 ; 17,7 ; 2,3 ;; 4,7 ; 1,1 ;; 11,2 ;;; 0,5 ;;; 1,3 ;52,1  
9120;BS-Ausland-CH;BS;1; 20,0 ; 5,1 ; 34,7 ; 14,9 ; 2,7 ;; 7,1 ; 1,3 ;; 11,6 ;;; 0,4 ;;; 2,3 ;26,0  
1301;Bezirk Arlesheim;BL;1; 16,9 ; 10,8 ; 23,9 ; 26,9 ; 2,0 ;; 3,1 ; 3,0 ;; 12,0 ;;; 0,3 ;;; 0,9 ;46,6  
1302;Bezirk Laufen;BL;1; 13,2 ; 21,2 ; 15,9 ; 34,8 ; 1,2 ;; 1,7 ; 2,5 ;; 8,8 ;;; 0,2 ;;; 0,4 ;45,2  
1303;Bezirk Liestal;BL;1; 15,4 ; 5,2 ; 23,2 ; 30,6 ; 2,5 ;; 2,7 ; 2,7 ;; 16,4 ;;; 0,6 ;;; 0,7 ;46,0  
1304;Bezirk Sissach;BL;1; 14,6 ; 3,7 ; 18,8 ; 33,3 ; 2,3 ;; 2,0 ; 2,4 ;; 21,9 ;;; 0,5 ;;; 0,6 ;49,7  
1305;Bezirk Waldenburg;BL;1; 12,6 ; 4,6 ; 18,3 ; 39,3 ; 3,4 ;; 2,2 ; 3,0 ;; 14,8 ;;; 1,0 ;;; 0,6 ;46,6  
1401;Bezirk Oberklettgau;SH;1; 12,1 ;; 25,0 ; 46,5 ;;;;;; 2,6 ;;; 10,9 ;;; 2,9 ;68,0  
1402;Bezirk Reiat;SH;1; 14,1 ;; 22,4 ; 52,5 ;;;;;; 3,1 ;;; 5,8 ;;; 2,1 ;68,6  
