"t","land","gkz","gebiet","wahlberechtigte","waehler","ungueltig","gueltig","cdu","spd","fdp","die_linke","gruene","csu","piraten","npd","tierschutzpartei","rep","oedp","familie","buendnis_21_rrp","rentner","bp","pbc","bueso","die_violetten","mlpd","volksabstimmung","psg","afd","big","pro_deutschland","die_rechte","die_frauen","freie_waehler","nicht__waehler","partei_der_vernunft","die_partei","wahlbeteiligung","die_tierschutzpartei","zentrum","adm","cm","dkp","dvu","fwd","rrp"
1,"SH",1001,"Flensburg, Stadt",70321,46827,562,46265,30.19,35.19,4.4,8.07,11.76,0,2.5,0.67,1.04,0,0,0,0,0.54,0,0,0,0,0.04,0,0,3.96,0,0,0,0,0.43,0,0,0,66.59,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1002,"Kiel, Landeshauptstadt",187464,132054,1368,130686,28.8,34.89,5.06,7.18,14.25,0,2.82,0.57,0.85,0,0,0,0,0.56,0,0,0,0,0.05,0,0,3.62,0,0,0,0,0.32,0,0,0,70.44,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1003,"Luebeck, Hansestadt",167287,113351,1322,112029,33.26,34.14,4.63,6.52,11.08,0,2.45,0.78,0.7,0,0,0,0,0.35,0,0,0,0,0.08,0,0,4.23,0,0,0,0,0.61,0,0,0,67.76,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1004,"Neumuenster, Stadt",61095,39957,569,39388,35.46,35.27,4.82,5.4,7.41,0,1.93,1.58,0.84,0,0,0,0,0.46,0,0,0,0,0.05,0,0,4.92,0,0,0,0,0.45,0,0,0,65.4,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1051,"Dithmarschen",107468,74624,975,73649,42.93,29.83,6.4,4.78,6.23,0,1.92,0.74,0.7,0,0,0,0,0.45,0,0,0,0,0.04,0,0,4.08,0,0,0,0,0.59,0,0,0,69.44,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1053,"Herzogtum Lauenburg",149486,111545,1063,110482,39.81,29.64,5.76,5.19,8.93,0,1.73,0.86,0.83,0,0,0,0,0.33,0,0,0,0,0.02,0,0,5.47,0,0,0,0,0.49,0,0,0,74.62,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1054,"Nordfriesland",131157,93315,1006,92309,42.59,29.18,6.38,4.2,8.74,0,1.81,0.5,0.75,0,0,0,0,0.42,0,0,0,0,0.03,0,0,3.74,0,0,0,0,0.59,0,0,0,71.15,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1055,"Ostholstein",164625,120139,1357,118782,40.67,31.31,6.19,4.25,7.77,0,1.56,0.56,0.7,0,0,0,0,0.38,0,0,0,0,0.02,0,0,4.95,0,0,0,0,0.54,0,0,0,72.98,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1056,"Pinneberg",235610,179055,1682,177373,40.21,30.92,5.51,4.98,8.54,0,1.88,0.74,0.71,0,0,0,0,0.37,0,0,0,0,0.02,0,0,4.74,0,0,0,0,0.44,0,0,0,76,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1057,"Ploen",104178,80265,872,79393,39.23,31.27,5.51,4.4,10.1,0,1.57,0.58,0.75,0,0,0,0,0.4,0,0,0,0,0.03,0,0,4.46,0,0,0,0,0.61,0,0,0,77.05,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1058,"Rendsburg-Eckernfoerde",216682,163981,1731,162250,40.37,31.01,5.58,4.26,9.32,0,1.74,0.55,0.84,0,0,0,0,0.46,0,0,0,0,0.02,0,0,4.33,0,0,0,0,0.46,0,0,0,75.68,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1059,"Schleswig-Flensburg",156623,115922,1551,114371,40.73,30.98,5.18,4.58,8.82,0,1.73,0.53,0.84,0,0,0,0,0.46,0,0,0,0,0.02,0,0,4.06,0,0,0,0,0.73,0,0,0,74.01,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1060,"Segeberg",208464,154526,1469,153057,41.28,29.48,5.74,4.88,8.08,0,2.06,0.77,0.85,0,0,0,0,0.42,0,0,0,0,0.03,0,0,4.86,0,0,0,0,0.61,0,0,0,74.13,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1061,"Steinburg",105499,76304,829,75475,40.52,30.14,5.72,5.21,7.95,0,2.22,0.84,0.77,0,0,0,0,0.39,0,0,0,0,0.02,0,0,4.4,0,0,0,0,0.74,0,0,0,72.33,NA,NA,NA,NA,NA,NA,NA,NA
1,"SH",1062,"Stormarn",185837,143885,1104,142781,40.34,29.49,5.93,4.68,9.55,0,1.73,0.61,0.72,0,0,0,0,0.36,0,0,0,0,0.02,0,0,5.31,0,0,0,0,0.47,0,0,0,77.43,NA,NA,NA,NA,NA,NA,NA,NA
1,"HH",2000,"Hamburg, Freie und Hansestadt",1281918,901213,10384,890829,31.73,32.06,4.76,8.69,12.52,0,2.72,0.63,0,0,0.22,0,0,0.42,0,0,0,0,0.05,0,0,4.12,0,0,0,0,0.32,0,0,0.63,70.3,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3101,"Braunschweig, Stadt",193799,143752,1467,142285,33.68,33.21,4.32,6.63,12.25,0,2.9,0.72,0.9,0.07,0,0,0,0,0,0.09,0,0,0.07,0,0,3.54,0,0.09,0,0,0.5,0,0,0,74.18,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3102,"Salzgitter, Stadt",75402,51907,773,51134,32.75,41.24,2.93,6.84,5.75,0,1.31,1.51,0.76,0.24,0,0,0,0,0,0.16,0,0,0.03,0,0,3.86,0,0.14,0,0,1,0,0,0,68.84,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3103,"Wolfsburg, Stadt",92819,64675,700,63975,41.44,33.63,3.63,5.05,6.83,0,1.9,1.09,0.77,0.04,0,0,0,0,0,0.24,0,0,0.03,0,0,3.77,0,0.1,0,0,0.41,0,0,0,69.68,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3151,"Gifhorn",134366,99309,903,98406,43.55,31.86,3.68,4.49,7.29,0,1.85,0.94,0.78,0.05,0,0,0,0,0,0.53,0,0,0.03,0,0,3.53,0,0.09,0,0,0.41,0,0,0,73.91,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3152,"Goettingen",195780,147262,1319,145943,35.11,32.47,4.01,6.36,12.9,0,1.97,0.68,0.69,0.05,0,0,0,0,0,0.09,0,0,0.04,0,0,3.68,0,0.14,0,0,0.9,0,0,0,75.22,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3153,"Goslar",112517,79695,1085,78610,37.78,36.72,4.15,5.5,6.36,0,1.53,0.95,0.81,0.09,0,0,0,0,0,0.06,0,0,0.04,0,0,4.08,0,0.13,0,0,0.45,0,0,0,70.83,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3154,"Helmstedt",74709,53711,673,53038,39.05,35.62,3.56,4.75,6.62,0,1.79,1.8,1,0.03,0,0,0,0,0,0.11,0,0,0.02,0,0,3.67,0,0.14,0,0,0.59,0,0,0,71.89,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3155,"Northeim",110737,80439,1385,79054,36.83,38.52,3.77,4.46,7.02,0,1.26,1.05,0.67,0.06,0,0,0,0,0,0.11,0,0,0.01,0,0,3.81,0,0.18,0,0,0.53,0,0,0,72.64,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3156,"Osterode am Harz",62441,44589,485,44104,37.68,38.09,3.83,5.27,6.06,0,1.46,1.23,0.76,0.07,0,0,0,0,0,0.07,0,0,0.03,0,0,3.49,0,0.15,0,0,0.71,0,0,0,71.41,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3157,"Peine",102787,77515,691,76824,35.62,40.24,3.26,4.82,7.29,0,1.63,0.97,0.79,0.11,0,0,0,0,0,0.17,0,0,0.03,0,0,3.57,0,0.18,0,0,0.43,0,0,0,75.41,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3158,"Wolfenbuettel",97192,74478,1474,73004,35.96,36.21,3.73,4.92,8.83,0,1.62,0.98,0.91,0.08,0,0,0,0,0,0.09,0,0,0.02,0,0,4,0,0.11,0,0,0.55,0,0,0,76.63,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3241,"Region Hannover",847629,630716,6995,623721,35.92,34.38,4.44,5.66,10.75,0,1.71,0.72,0.78,0.09,0,0,0,0,0,0.11,0,0,0.04,0,0,3.71,0,0.13,0,0,0.46,0,0,0,74.41,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3251,"Diepholz",168362,124298,1049,123249,42.88,31.23,4.98,4.5,8.27,0,1.52,0.8,0.84,0.07,0,0,0,0,0,0.09,0,0,0.02,0,0,3.36,0,0.12,0,0,0.48,0,0,0,73.83,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3252,"Hameln-Pyrmont",119218,85079,1242,83837,37.58,34.78,3.92,5.53,8.51,0,1.7,0.88,0.77,0.08,0,0,0,0,0,0.1,0,0,0.02,0,0,4.24,0,0.11,0,0,0.33,0,0,0,71.36,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3254,"Hildesheim",219571,164796,1799,162997,38.25,36,3.39,4.93,8.85,0,1.78,0.9,0.73,0.06,0,0,0,0,0,0.09,0,0,0.02,0,0,3.4,0,0.23,0,0,0.28,0,0,0,75.05,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3255,"Holzminden",58096,42232,474,41758,36.26,37.13,5.47,4.65,8.15,0,1.35,0.99,0.73,0.07,0,0,0,0,0,0.21,0,0,0.03,0,0,3.44,0,0.08,0,0,0.31,0,0,0,72.69,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3256,"Nienburg (Weser)",95508,67803,553,67250,43.1,33.34,3.61,4.15,7.65,0,1.38,0.97,0.75,0.08,0,0,0,0,0,0.12,0,0,0.02,0,0,3.56,0,0.11,0,0,0.34,0,0,0,70.99,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3257,"Schaumburg",125175,92022,769,91253,38.21,37,3.56,4.31,8.1,0,1.55,0.81,0.85,0.08,0,0,0,0,0,0.17,0,0,0.03,0,0,4.09,0,0.12,0,0,0.3,0,0,0,73.51,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3351,"Celle",139513,101214,880,100334,45.14,28.78,4.38,4.29,6.97,0,1.57,1.06,0.74,0.11,0,0,0,0,0,0.13,0,0,0.01,0,0,5.14,0,0.09,0,0,0.73,0,0,0,72.55,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3352,"Cuxhaven",158469,116132,1022,115110,43.05,33.38,3.49,4.75,7.11,0,1.46,0.89,0.81,0.03,0,0,0,0,0,0.07,0,0,0.02,0,0,3.51,0,0.1,0,0,0.44,0,0,0,73.28,NA,NA,NA,NA,NA,NA,NA,NA
1,"NI",3353,"Harburg",194856,152819,1219,151600,42.47,28.08,4.83,4.35,9.21,0,1.64,0.78,0.89,0.05,0,0,0,0,0,0.1,0,0,0.02,0,0,5.93,0,0.09,0,0,0.75,0,0,0,78.43,NA,NA,NA,NA,NA,NA,NA,NA
