ebene;name;wb;Socialdemokraterna;RadikaleVenstre;KonservativeFolkeparti;SocialistiskFolkeparti;LiberalAlliance;Kristendemokraterne;DanskFolkeparti;Venstre;Enhedslisten;UdenForPartieme;Gesamt
1;Hele landet;87,74;879615;336698;175047;326192;176585;28070;436726;947725;236860;1850;3545368
2;Hovedstaden;87,86;226245;140302;65370;103660;62707;4123;109582;234041;111106;751;1057887
3;Københavns Storkreds;86,42;80705;71264;23262;52870;24882;1185;35887;64914;70831;405;426205
4;1. Østerbro;89,00;8153;8882;2876;5206;3235;130;2764;7645;6744;37;45672
4;2. Sundbyvester;84,87;6740;5708;1578;4291;2276;77;3098;5280;5540;39;34627
4;3. Indre By;84,64;4541;6937;2193;3824;2719;56;1397;5174;6100;34;32975
4;4. Sundbyøster;84,99;6341;4795;1153;4130;1704;90;3047;4900;5088;50;31298
4;5. Nørrebro;86,23;7249;8952;1404;6821;2003;103;2112;3748;12382;57;44831
4;6. Utterslev;81,38;5967;3945;1110;3891;1290;107;2675;3095;5630;35;27745
4;7. Brønshøj;85,98;10305;6125;2119;6112;2051;176;5060;6647;6790;40;45425
4;8. Valby;85,33;6645;4012;1278;3744;1419;85;2964;4338;4235;23;28743
4;9. Vesterbro;86,68;6054;6719;1286;4880;1947;88;2116;3763;7940;36;34829
4;10. Falkoner;90,86;5198;6792;3308;3462;2397;80;2022;5889;4139;12;33299
4;11. Slots;87,66;5599;5442;2977;3390;2161;95;2513;5737;3758;17;31689
4;12. Tårnby;88,35;7913;2955;1980;3119;1680;98;6119;8698;2485;25;35072
3;Københavns Omegns Storkreds;88,09;81557;33992;21763;27767;16703;1086;40444;69948;23221;247;316728
4;1. Gentofte;91,27;5342;6787;6755;2142;4599;116;3099;13877;2299;17;45033
4;2. Lyngby;90,45;6141;5420;3275;2740;2591;103;2815;8989;2015;15;34104
4;3. Gladsaxe;88,20;10329;5043;2162;3855;1890;148;4609;8064;3667;31;39798
4;4. Rødovre;87,16;12413;3478;1884;3897;1486;222;5649;7308;3226;31;39594
4;5. Hvidovre;86,87;8886;2620;1298;3213;1204;106;5121;5872;2652;30;31002
4;6. Brøndby;85,78;11976;3085;2020;3871;1478;103;6397;8110;2716;28;39784
4;7. Taastrup;86,87;12551;3953;2345;4388;1597;132;6155;8769;3684;44;43618
4;8. Ballerup;88,18;13919;3606;2024;3661;1858;156;6599;8959;2962;51;43795
3;Nordsjællands Storkreds;90,09;54182;33537;19765;21012;20613;1171;30279;91870;15062;99;287590
4;1. Helsingør;87,39;9092;4237;2436;3289;2344;95;4519;9953;2469;11;38445
4;2. Fredensborg;90,86;5981;4942;4216;2411;3679;112;3679;14314;1549;15;40898
4;3. Hillerød;89,84;10989;6133;2936;4319;3335;515;6526;19535;3324;21;57633
4;4. Frederikssund;87,54;11530;3900;1868;4363;2439;195;6884;14555;2910;16;48660
4;5. Egedal;92,06;10082;6701;3478;3623;3725;127;5143;15618;2649;14;51160
4;6. Rudersdal;92,54;6508;7624;4831;3007;5091;127;3528;17895;2161;22;50794
3;Bornholms Storkreds;85,25;9801;1509;580;2011;509;681;2972;7309;1992;0;27364
4;1. Rønne;85,50;5251;742;312;973;245;281;1361;3291;893;0;13349
4;2. Aakirkeby;85,02;4550;767;268;1038;264;400;1611;4018;1099;0;14015
2;Sjælland-Syddanmark;87,52;332085;96240;58801;119659;58933;8066;191215;365881;67139;603;1298622
3;Sjællands Storkreds;87,75;133571;39840;24863;51952;23857;2022;85571;139888;29959;278;531801
4;1. Lolland;84,23;9279;1255;961;5440;814;92;4544;5802;1583;18;29788
4;2. Guldborgsund;86,40;13097;2328;1603;4262;1284;197;6606;9627;2325;16;41345
4;3. Vordingborg;87,69;8362;2083;1336;3276;1230;113;4847;7326;2164;14;30751
4;4. Næstved;87,53;15208;3546;2797;4706;2282;264;8092;13059;2763;23;52740
4;5. Faxe;88,30;8501;2734;1972;3249;1675;116;6744;10749;1966;11;37717
4;6. Køge;89,91;11711;4729;2831;4990;2966;167;8580;15259;2939;13;54185
4;7. Greve;90,32;8662;3410;2576;2810;2586;116;7327;15049;1668;5;44209
4;8. Roskilde;90,11;11498;6327;3028;5605;3149;205;6523;13788;3680;16;53819
4;9. Holbæk;87,37;11449;3712;2146;4071;1890;191;6396;11657;2713;19;44244
4;10. Kalundborg;86,28;13443;3454;1786;5207;1784;205;10456;14257;3181;25;53798
4;11. Ringsted;88,07;9716;3253;1828;3556;1951;185;6418;10673;2296;32;39908
4;12. Slagelse;85,67;12645;3009;1999;4780;2246;171;9038;12642;2681;86;49297
3;Fyns Storkreds;87,78;89577;26658;16033;32990;13164;1330;38978;76845;19914;171;315660
4;1. Odense Øst;83,86;13425;4066;1948;5279;1748;159;4227;6704;3581;13;41150
4;2. Odense Vest;87,88;11028;3107;2224;3876;1490;113;4462;7830;2445;13;36588
4;3. Odense Syd;89,10;10827;4820;2953;4400;2233;220;4521;10988;2660;23;43645
4;4. Assens;88,39;7841;1935;1291;2509;1135;139;3634;7191;1419;6;27100
4;5. Middelfart;88,77;11791;3112;2013;4112;1960;166;6179;12774;1825;16;43948
4;6. Nyborg;88,83;11388;2458;1551;3799;1426;125;4968;9020;1871;53;36659
