ebene;name;wb;Socialdemokraterna;RadikaleVenstre;KonservativeFolkeparti;SocialistiskFolkeparti;LiberalAlliance;Kristendemokraterne;DanskFolkeparti;Venstre;Enhedslisten;Alternativet;UdenForPartieme;Gesamt
1;Hele landet;85,89;924940;161009;118003;147578;265129;29077;741746;685188;274463;168788;3066;3518987
2;Hovedstaden;85,75;260619;75230;42875;54777;97698;5393;171142;155225;116850;76306;1540;1057655
3;Københavns Storkreds;84,61;96753;40578;13471;28260;37935;1599;49575;44721;71140;48475;953;433460
4;1. Østerbro;87,16;10634;5082;1541;2921;5115;185;3850;5339;6443;5124;60;46294
4;2. Sundbyvester;83,15;8223;3340;886;2318;3540;138;4400;3830;5726;4010;87;36498
4;3. Indre By;84,42;6562;4044;1260;2085;4140;71;1944;3852;5495;4510;56;34019
4;4. Sundbyøster;82,97;7339;2691;755;2156;2683;144;4432;3275;5386;3562;90;32513
4;5. Nørrebro;84,33;8061;5065;706;3471;2895;133;2502;2710;12239;8262;134;46178
4;6. Bispebjerg;78,67;6251;2205;580;1909;1829;169;3363;2037;6157;3381;85;27966
4;7. Brønshøj;83,65;11540;3369;1240;3509;3130;235;6523;4428;7170;3921;104;45169
4;8. Valby;82,90;7432;2346;769;2031;2323;139;4091;2886;4646;2612;89;29364
4;9. Vesterbro;85,27;7038;3834;693;2590;2897;83;2805;2626;7413;5643;86;35708
4;10. Falkoner;89,14;7134;4140;1970;2015;3584;85;2720;4129;3985;3500;62;33324
4;11. Slots;86,56;6995;3049;1861;1772;3349;116;3524;4161;3877;2724;57;31485
4;12. Tårnby;86,44;9544;1413;1210;1483;2450;101;9421;5448;2603;1226;43;34942
3;Københavns Omegns Storkreds;85,30;90361;16710;13840;14619;25982;1365;62419;46092;25364;13575;485;310812
4;1. Gentofte;89,19;7850;4083;4553;1452;7876;135;4722;9600;2327;2399;22;45019
4;2. Lyngby;88,82;7904;3048;2360;1550;4239;133;4188;6231;2235;1956;21;33865
4;3. Gladsaxe;85,41;11629;2632;1225;2127;2997;186;6817;5333;3895;2187;35;39063
4;4. Rødovre;84,64;13200;1488;1151;1967;2184;268;8666;4765;3741;1591;40;39061
4;5. Hvidovre;83,96;9738;1112;730;1550;1738;136;7764;3752;2827;1132;111;30590
4;6. Brøndby;81,41;12648;1275;1129;1893;2152;112;9901;5030;2962;1085;132;38319
4;7. Taastrup;83,50;12696;1588;1684;2279;2226;172;10035;5426;4117;1716;75;42014
4;8. Ballerup;85,70;14696;1484;1008;1801;2570;223;10326;5955;3260;1509;49;42881
3;Nordsjællands Storkreds;88,27;64822;17515;15123;11182;32744;1680;53980;59155;18171;12957;102;287431
4;1. Helsingør;85,02;9688;2036;2388;1536;3690;144;8019;5552;3124;2081;11;38269
4;2. Fredensborg;88,72;7523;2848;3083;1311;6182;161;6441;9377;2003;1633;15;40577
4;3. Hillerød;87,97;12889;2893;2030;2366;5362;819;12234;12358;3902;2840;17;57710
4;4. Frederikssund;85,78;12770;1511;1313;2279;3149;197;12048;9466;3514;1920;23;48190
4;5. Egedal;90,38;12701;3613;2447;1977;5724;182;9041;10613;3153;2199;20;51670
4;6. Rudersdal;91,20;9251;4614;3862;1713;8637;177;6197;11789;2475;2284;16;51015
3;Bornholms Storkreds;83,54;8683;427;441;716;1037;749;5168;5257;2175;1299;;25952
4;1. Rønne;83,51;4676;204;244;342;456;320;2574;2375;979;547;;12717
4;2. Aakirkeby;83,56;4007;223;197;374;581;429;2594;2882;1196;752;;13235
2;Sjælland-Syddanmark;85,74;340916;41381;35557;47873;86146;8081;328166;263974;84563;43918;219;1280794
3;Sjællands Storkreds;85,74;146464;16906;15083;20575;32598;1996;134195;102818;35374;18202;219;524430
4;1. Lolland;81,28;9679;365;935;1111;802;80;7024;4494;2019;646;13;27168
4;2. Guldborgsund;84,20;12657;791;933;1319;1501;190;11534;6760;2853;1097;15;39650
4;3. Vordingborg;86,06;8975;734;732;1101;1454;89;7526;5642;2346;1477;15;30091
4;4. Næstved;85,67;17230;1175;1526;1690;3438;235;12914;9357;3278;1573;19;52435
4;5. Faxe;86,35;9297;934;1212;1489;2337;133;10660;7621;2324;1195;20;37222
4;6. Køge;88,14;13784;2097;1613;3498;3957;184;13045;11758;3236;1860;33;55065
4;7. Greve;88,09;10561;1506;1353;1215;4009;149;11499;10847;2091;1028;20;44278
4;8. Roskilde;88,02;14087;3257;1780;2920;4456;234;10114;10339;4148;2838;18;54191
4;9. Holbæk;85,52;12173;1901;1357;1447;2650;182;10167;8666;3414;1563;11;43531
4;10. Kalundborg;84,39;14514;1312;1191;1691;2449;145;15623;10333;3728;1916;20;52922
4;11. Ringsted;86,24;10310;1402;1300;1532;2493;193;10512;7703;2684;1545;16;39690
4;12. Slagelse;83,23;13197;1432;1151;1562;3052;182;13577;9298;3253;1464;19;48187
3;Fyns Storkreds;86,00;90061;10513;10849;13790;20271;1293;67913;56673;26575;14165;;312103
4;1. Odense Øst;81,73;12493;1895;1172;2343;3176;194;7245;5199;5282;2466;;41465
4;2. Odense Vest;86,04;11305;1362;1369;1877;2687;139;7641;5590;3246;1705;;36921
4;3. Odense Syd;87,47;11636;2205;1964;2133;3864;246;7656;8211;3729;2227;;43871
4;4. Assens;87,14;7657;680;836;939;1626;115;6617;5379;1806;925;;26580
4;5. Middelfart;87,51;12724;1212;1439;1606;2675;175;10735;9230;2444;1280;;43520
4;6. Nyborg;86,64;12051;759;1041;1435;1872;129;8607;6687;2405;1102;;36088
4;7. Svendborg;85,86;12210;1359;1438;1964;2416;159;10721;8166;4953;2911;;46297
4;8. Faaborg;86,32;9985;1041;1590;1493;1955;136;8691;8211;2710;1549;;37361
3;Sydjyllands Storkreds;85,56;104391;13962;9625;13508;33277;4792;126058;104483;22614;11551;;444261
4;1. Sønderborg;85,57;11728;1983;818;1129;3357;240;14124;9994;1981;1042;;46396
4;2. Aabenraa;85,11;7857;1175;639;823;2503;354;11392;8773;1608;700;;35824
4;3. Tønder;84,65;5038;614;478;560;1727;397;6958;6313;1087;488;;23660
4;4. Esbjerg By;82,15;10998;1107;701;1457;2603;287;10251;7158;3560;1061;;39183
4;5. Esbjerg Omegn;86,73;8009;893;787;1134;2511;295;9027;8960;1845;853;;34314
4;6. Varde;86,88;5907;753;510;721;2103;467;8996;10327;1153;608;;31545
4;7. Vejen;86,79;9095;913;896;1029;3065;506;12862;12143;1550;794;;42853
4;8. Vejle Nord;88,54;7152;1288;811;1025;2721;485;9579;7483;1504;1196;;33244
4;9. Vejle Syd;84,51;8571;1451;741;1288;3103;434;9166;7079;1906;1250;;34989
4;10. Fredericia;84,54;8755;789;639;1057;2077;256;9312;5471;1911;965;;31232
4;11. Kolding Nord;85,11;5926;1041;814;1149;2571;174;6184;6106;1372;811;;26148
4;12. Kolding Syd;85,96;6734;976;1003;1216;2442;395;8177;6211;1354;898;;29406
4;13. Haderslev;86,02;8621;979;788;920;2494;502;10030;8465;1783;885;;35467
2;Midtjylland-Nordjylland;86,17;323405;44398;39571;44928;81285;15603;242438;265989;73050;48564;1307;1180538
3;Østjyllands Storkreds;86,69;132320;23876;13490;21100;40101;4627;91621;90528;35960;29587;1095;484305
4;1. Århus Syd;89,06;13623;3375;1655;2509;4902;349;6483;8909;4044;4064;132;50045
4;2. Århus Vest;83,37;14570;2555;1325;2355;3362;569;7884;7091;4730;3410;204;48055
4;3. Århus Nord;86,26;14067;4018;1350;2982;4507;826;6000;7028;5615;4732;214;51339
4;4. Århus Øst;88,25;13362;4881;1936;2932;6650;486;5706;9599;5432;6082;181;57247
4;5. Djurs;85,10;13935;1258;1178;2519;3039;239;12749;10666;2986;2558;47;51174
4;6. Randers Nord;84,26;9741;676;664;916;1679;232;6989;5638;1990;774;47;29346
4;7. Randers Syd;84,10;9287;857;818;945;2176;378;7237;6397;1991;1060;62;31208
4;8. Favrskov;88,96;8185;1270;953;1100;2026;217;6696;6770;1479;1140;27;29863
4;9. Skanderborg;89,56;15251;2437;1663;2207;4249;328;10077;11658;3133;3284;69;54356
4;10. Horsens;85,90;13900;1808;1293;1914;5098;309;12878;9634;3454;1819;82;52189
4;11. Hedensted;88,34;6399;741;655;721;2413;694;8922;7138;1106;664;30;29483
3;Vestjyllands Storkreds;86,94;80122;9183;15928;11720;19377;7646;69657;89537;14531;8642;116;326459
4;1. Struer;87,18;7147;571;1317;1218;1184;455;5909;7878;1104;618;11;27412
4;2. Skive;85,45;9164;922;893;864;1472;242;6245;8106;1531;644;9;30092
4;3. Viborg Vest;85,17;8368;974;2726;1572;1859;263;6089;7207;1698;1032;5;31793
4;4. Viborg Øst;87,35;6453;792;3293;1060;1565;354;5452;7042;1106;716;10;27843
4;5. Silkeborg Nord;88,54;6656;881;1272;1044;1872;533;5855;6909;1421;1085;5;27533
4;6. Silkeborg Syd;87,32;8006;1269;1282;1384;2483;264;5311;6176;2018;1544;4;29741
4;7. Ikast;86,64;5403;515;852;600;1359;518;6871;7438;930;505;11;25002
4;8. Herning Syd;85,82;5663;775;929;879;2004;746;5859;7553;1153;590;8;26159
4;9. Herning Nord;89,39;5670;786;998;797;1844;1242;6518;9256;956;513;9;28589
4;10. Holstebro;87,18;10762;1017;1281;1296;2107;720;7563;9642;1496;799;44;36727
4;11. Ringkøbing;86,69;6830;681;1085;1006;1628;2309;7985;12330;1118;596;;35568
3;Nordjyllands Storkreds;84,83;110963;11339;10153;12108;21807;3330;81160;85924;22559;10335;96;369774
4;1. Frederikshavn;84,00;12810;801;823;1068;1788;362;10777;8887;2133;729;7;40185
4;2. Hjørring;84,74;11542;1070;2214;1519;1934;384;9871;9766;2329;963;9;41601
4;3. Brønderslev;85,61;14351;1044;1159;1513;2385;423;11269;11776;2342;1048;11;47321
4;4. Thisted;85,88;13310;758;1003;833;1766;495;9061;11503;2025;931;4;41689
4;5. Himmerland;85,44;10810;1203;1427;1198;2396;303;10409;10830;1833;928;14;41351
4;6. Mariagerfjord;84,18;7757;761;589;805;1504;195;6479;6160;1427;714;17;26408
4;7. Aalborg Øst;84,12;15854;2278;974;2108;3651;572;8807;8820;4284;1964;9;49321
4;8. Aalborg Vest;86,32;11899;1796;1102;1579;3356;255;6782;9728;3055;1613;15;41180
4;9. Aalborg Nord;83,01;12630;1628;862;1485;3027;341;7705;8454;3131;1445;10;40718
