nr;region;wahlberechtigte;abgegeben;blanco;ungültig;gültig;CDA;PVV;PvdA;VVD;D66;GrLinks;SP;CU/SGP;PvdD;EKP;Newrop.;Libertas;LibDem;Groenen;Solidara;EV&D;PEP
1;Groningen;451020;165167;369;264;164534;27565;19218;30150;14870;17555;18169;14033;14386;5686;694;708;420;357;291;235;125;72
2;Friesland;495675;180470;289;290;179891;48604;21289;32821;15922;13953;13336;13357;12354;5278;1174;496;357;258;287;207;119;79
3;Drenthe;378701;138801;216;218;138367;29494;19710;25950;16831;11886;10525;9322;8398;4248;648;368;312;201;206;129;90;49
4;Overijssel;848338;305177;587;505;304085;81648;39443;37180;28978;26677;21507;19813;36365;7364;1117;1031;699;565;595;748;221;134
5;Flevoland;272353;92905;164;254;92487;14791;20373;10122;11036;9113;6642;6290;8324;3866;494;406;331;205;152;173;111;58
6;Gelderland;1515450;573233;989;870;571374;124444;82081;66853;60133;60272;51228;39794;60069;16737;2321;2200;1477;1138;1123;748;495;261
7;Utrecht;907064;384018;963;570;382485;61916;55420;40851;45266;56783;45298;21990;34883;12519;1454;1940;1356;1076;721;523;316;173
8;N-Holland;1913824;740952;1585;1633;737734;91134;130421;95563;94707;110996;91024;54551;16794;34567;3969;4187;2732;2218;1983;1554;913;421
9;Z-Holland;2588051;978309;2248;3400;972661;169208;188779;106907;114875;114689;76015;59443;85874;36896;4567;4078;3485;2582;1559;2092;959;653
10;Zeeland;290170;106791;177;186;106428;21552;17464;11176;10835;7883;6347;6324;19035;4019;541;416;310;149;145;89;87;56
11;N-Brabant;1852684;615899;1697;1178;613024;152170;107902;62782;82558;64790;45490;55709;11504;17592;3160;2978;2179;1443;975;730;760;302
12;Limburg;865170;292021;729;498;290794;90707;70646;28336;22632;20825;18439;22643;2554;8963;1309;1032;954;565;480;305;235;169
