nr;region;wahlberechtigte;abgegeben;blanco;ungültig;gültig;D66;CDA;PVV;VVD;SP;PvdA;CU/SGP;GrLinks;PvdD;50PLUS;Piraten;Artikel50;AeuP;Groenen;JezusL;ikkies;LibDem;AenE;IQ
1;Groningen;458279;173326;783;450;172093;24407;21593;16963;14915;22110;22675;16634;15289;8124;4983;1800;761;470;452;369;202;181;107;58
2;Friesland;501211;193566;620;437;192509;20316;40064;18989;20623;20232;27997;15084;11103;7463;6407;1342;880;541;398;473;227;182;123;65
3;Drenthe;384361;143593;408;301;142884;18136;23186;16834;17763;15075;19569;10528;7963;5787;5060;798;620;530;310;294;144;152;84;51
4;Overijssel;867081;326521;879;668;324974;38212;82802;32367;30410;28433;29224;41995;17889;9362;8013;2209;1200;743;514;682;334;325;167;93
5;Flevoland;287978;99338;348;286;98704;13411;12322;9218;11926;16272;8353;11229;5088;4542;3180;1005;692;412;192;382;224;131;71;54
6;Gelderland;1558698;610680;1825;1235;607620;86977;99951;67807;69773;56339;54783;72613;43970;22996;19701;4034;2565;1336;1423;1149;810;815;414;164
7;Utrecht;943395;402847;1431;835;400581;78286;50382;41384;50728;29219;34679;40412;40176;16057;9509;3566;2095;890;945;817;520;565;228;123
8;N-Holland;2045151;765022;2769;2335;759918;149226;75905;92634;101565;70276;84511;19377;74246;42856;26658;9085;4652;2223;2441;1134;1075;1219;539;296
9;Z-Holland;2675126;1004010;3488;2707;997815;161621;123998;158383;125872;81909;85350;98896;60368;44697;30912;8902;5837;2647;1958;2561;1545;1259;748;352
10;Zeeland;291995;116711;280;288;116143;11556;18237;15190;13072;11385;9750;21722;4644;4300;3769;645;427;328;210;299;120;383;67;39
11;N-Brabant;1907418;648912;2533;1428;644951;97579;113212;95138;86642;76390;47137;13722;36032;22975;42053;4920;2989;1482;1399;940;838;840;427;236
12;Limburg;880812;296115;1367;714;294034;35713;59985;61084;27683;37398;22636;2607;14775;11060;15072;1902;1346;687;637;399;394;289;198;169
